연번(총41),상호,업태,소재지,매장면적(㎡),연락처,비고
1,롯데마트 고양점,대형마트,덕양구 충장로 150,5978,930-7000,
2,롯데마트 화정점,대형마트,덕양구 화중로 66,6916,947-2500,
3,롯데마트 주엽점,대형마트,일산서구 중앙로 1496,9665,910-3321,
4,이마트 화정점,대형마트,덕양구 백양로 79,10939,995-1052,
5,이마트 풍산점,대형마트,일산동구 무궁화로 237,12545,910-1200,
6,킨텍스 쇼핑센터(이마트 킨텍스점),대형마트,일산서구 킨텍스로 171,27095,936-1119,
7,홈플러스 고양터미널점,대형마트,일산동구 중앙로 1036,18422,936-7921,
8,홈플러스 일산점,대형마트,일산동구 중앙로1275번길 64,12734,925-2080,
9,홈플러스 킨텍스점,대형마트,일산서구 호수로 817,20138,960-7182,
10,코스트코 일산점,대형마트,일산동구 장백로 25,14989,1899-9900,
1,이케아 고양점,전문점,덕양구 권율대로 420,25227,1670-4532,
1,롯데백화점 일산점,백화점,일산동구 중앙로 1283,34419,909-2500,
2,그랜드백화점 일산점,백화점,일산서구 중앙로 1436,18957,917-0101,
3,현대백화점 킨텍스점,백화점,일산서구 호수로 817,37832,822-2233,
1,롯데아울렛 고양점,쇼핑센터,덕양구 권율대로 420,16529,8035-2500,
2,웨스턴돔,쇼핑센터,일산동구 정발산로 24,32906,931-5114,
3,일산 벨라씨타,쇼핑센터,일산동구 강송로 33,42599,849-5700,
1,스타필드 고양,복합쇼핑몰,덕양구 고양대로 1955,129225,5173-0123,
2,롯데아울렛 고양터미널점,복합쇼핑몰,일산동구 중앙로 1036,21623,936-7740,
3,고양원마운트,복합쇼핑몰,일산서구 한류월드로 300,31768,1566-2232,
1,요진타워,그밖의 대규모점포,덕양구 화신로260번길 57,5371,995-1051,
2,세이브존,그밖의 대규모점포,덕양구 화정로 52,13513,930-3004,
3,유니코 이마트 일산점,그밖의 대규모점포,일산동구 중앙로 1124,6360,900-1234,
4,대우 로얄마트,그밖의 대규모점포,일산동구 중앙로 1129,4026,904-3300,
5,뉴삼창마트,그밖의 대규모점포,일산동구 강석로 123,5768,903-7888,
6,해태쇼핑타운,그밖의 대규모점포,일산동구 중산로 241,4609,906-9109,
7,올리브상가,그밖의 대규모점포,일산동구 중앙로 1130,11890,901-5414,
8,라페스타,그밖의 대규모점포,일산동구 중앙로1275번길 38-31,28608,908-3861,
9,뉴코아 아울렛 일산점,그밖의 대규모점포,일산동구 중앙로 1206,22291,900-5600,
10,두진레이크,그밖의 대규모점포,일산서구 중앙로 1391,4162,910-3321,
11,태영프라자,그밖의 대규모점포,일산서구 증앙로 1388,2634,,
12,뉴서울프라자,그밖의 대규모점포,일산서구 중앙로 1371,7334,,
13,한솔코아,그밖의 대규모점포,일산서구 중앙로 1406,10126,,
14,포리치 한양상가,그밖의 대규모점포,일산서구 중앙로 1376,7733,,
15,레이킨스몰,그밖의 대규모점포,일산서구 호수로 817,7121,912-1170,
16,롯데 빅마켓 킨텍스점,그밖의 대규모점포,일산서구 주엽로 79,19834,8071-8322,
17,고양일산호수공원 가로수길,그밖의 대규모점포,일산서구 주엽로 80,16506,904-0226,
18,e-편한세상 시티 삼송(World Avenue),그밖의 대규모점포,덕양구 동송로 33,11120,782-3752,
19,라 몬테 이탈리아노,그밖의 대규모점포,일산동구 연리지로 51,6031,947-9603,
20,GIFC MALL,그밖의 대규모점포,일산서구 킨텍스로 240,9385,955-9445,
21,힐스몰,그밖의 대규모점포,덕양구 동송로 70,7990,,2019. 7월 영업개시 예정
