도서관명,도서(권),비도서(매),잡지(종),신문(종),웹컨텐츠(종),특화분야(권)
호수공원,7979,0,0,0,0,0
사리현,11800,0,0,0,0,0
고양 윤창,12947,0,0,0,0,0
강촌공원,5251,0,0,0,0,0
화전,19710,417,0,0,0,0
마상공원,6085,294,0,0,0,0
탄현,22811,168,0,0,0,0
햇빛21,11111,137,0,0,0,0
대덕,10402,150,0,0,0,0
포돌이,9481,109,0,0,0,0
고양,26342,55,0,0,0,0
햇빛마을 ,21732,35,0,0,0,0
푸른마을,22029,25,0,0,0,0
관산 ,27949,17,0,0,0,0
대화마을,18757,0,0,0,0,0
행신,161077,2019,120,29,0,0
삼송,61867,690,124,30,0,0
한뫼,141031,1812,109,34,0,0
대화,137658,2058,122,35,0,0
덕이,77251,1673,88,31,0,0
가좌,57049,1090,90,28,0,0
풍동,90999,2002,81,81,0,0
백석,144579,3264,119,80,0,0
원당,112133,3737,78,26,0,0
식사,80922,1736,81,28,0,0
화정어린이,107444,1137,45,5,0,0
행신어린이,108551,928,40,7,0,0
주엽어린이,132224,1351,6,5,0,65310
아람누리,202266,2387,161,39,0,22747
화정,168352,5153,171,41,53375,2134
마두,165635,3258,83,28,0,1677
모당공원,4876,66,0,0,0,0
삼송작은도서관,11118,0,0,0,0,0
신원,65322,1289,122,30,0,0
내유,7119,0,0,0,0,0
