번호,시도,시군구,읍면동,가구수(합계),수급권자수(합계),가구수(1종),수급권자수(1종),가구수(2종),수급권자수(2종)
1,고양시,덕양구,주교동,657 ,781 ,489 ,547 ,168 ,234 
2,고양시,덕양구,원신동,470 ,584 ,335 ,388 ,135 ,196 
3,고양시,덕양구,흥도동,911 ,1103 ,727 ,833 ,183 ,269 
4,고양시,덕양구,성사1동,438 ,517 ,354 ,404 ,84 ,113 
5,고양시,덕양구,성사2동,128 ,146 ,108 ,117 ,20 ,29 
6,고양시,덕양구,효자동,87 ,95 ,80 ,83 ,7 ,12 
7,고양시,덕양구,삼송동,341 ,401 ,294 ,324 ,46 ,76 
8,고양시,덕양구,창릉동,154 ,173 ,140 ,148 ,14 ,25 
9,고양시,덕양구,고양동,800 ,953 ,653 ,722 ,147 ,231 
10,고양시,덕양구,관산동,971 ,1162 ,850 ,959 ,121 ,203 
11,고양시,덕양구,능곡동,229 ,293 ,192 ,223 ,37 ,70 
12,고양시,덕양구,화정1동,385 ,463 ,289 ,336 ,96 ,127 
13,고양시,덕양구,화정2동,187 ,196 ,156 ,161 ,31 ,35 
14,고양시,덕양구,행주동,693 ,851 ,526 ,591 ,167 ,260 
15,고양시,덕양구,행신1동,358 ,425 ,284 ,311 ,73 ,113 
16,고양시,덕양구,행신2동,264 ,301 ,219 ,234 ,45 ,67 
17,고양시,덕양구,행신3동,1225 ,1547 ,942 ,1063 ,283 ,484 
18,고양시,덕양구,화전동,225 ,255 ,199 ,220 ,26 ,35 
19,고양시,덕양구,대덕동,61 ,70 ,43 ,46 ,18 ,24 
20,고양시,일산동구,식사동,126 ,150 ,105 ,118 ,21 ,32 
21,고양시,일산동구,중산동,744 ,940 ,602 ,711 ,142 ,229 
22,고양시,일산동구,정발산동,298 ,395 ,204 ,239 ,94 ,156 
23,고양시,일산동구,풍산동,397 ,528 ,311 ,367 ,86 ,161 
24,고양시,일산동구,백석1동,165 ,200 ,116 ,132 ,49 ,68 
25,고양시,일산동구,백석2동,941 ,1166 ,806 ,936 ,134 ,229 
26,고양시,일산동구,마두1동,107 ,136 ,92 ,109 ,15 ,27 
27,고양시,일산동구,마두2동,91 ,96 ,79 ,83 ,12 ,13 
28,고양시,일산동구,장항1동,59 ,69 ,54 ,56 ,5 ,13 
29,고양시,일산동구,장항2동,179 ,209 ,135 ,150 ,44 ,59 
30,고양시,일산동구,고봉동,713 ,753 ,661 ,678 ,52 ,75 
31,고양시,일산서구,일산1동,305 ,393 ,240 ,272 ,65 ,121 
32,고양시,일산서구,일산2동,434 ,520 ,344 ,383 ,90 ,137 
33,고양시,일산서구,일산3동,71 ,88 ,54 ,60 ,17 ,28 
34,고양시,일산서구,탄현동,486 ,520 ,429 ,446 ,57 ,74 
35,고양시,일산서구,주엽1동,102 ,118 ,82 ,87 ,20 ,31 
36,고양시,일산서구,주엽2동,918 ,1164 ,789 ,936 ,129 ,228 
37,고양시,일산서구,대화동,448 ,554 ,318 ,353 ,130 ,201 
38,고양시,일산서구,송포동,82 ,99 ,64 ,79 ,18 ,20 
39,고양시,일산서구,송산동,322 ,372 ,248 ,278 ,74 ,94 
