의료유사업소명,사업장소재지(도로명),사업장전화번호
벧엘새아침안마원,"경기도 고양시 덕양구 토당로 18, 204호 (토당동, 피렌체뷰)",031-972-8546
원흥안마원,"경기도 고양시 덕양구 삼송로 12, 반도유스퀘어 805호 일부호 (원흥동)",031-967-8208
다나안마원,"경기도 고양시 덕양구 마상로 140, 임성빌딩 2층 (주교동)",031-966-8576
원당가족안마원,"경기도 고양시 덕양구 마상로126번길 73, 3층 301호 (주교동, 보은빌딩)",031-966-8575
의손안마원,"경기도 고양시 덕양구 용현로5번길 24, 2층 201호 (행신동, 백산오피스텔)",
제일안마원,"경기도 고양시 덕양구 화정로 53-1, 글로리아빌딩 3층 309호 (화정동)",031-963-9222
킹안마시술소,"경기도 고양시 덕양구 호국로789번길 7 (주교동,301,302호)",031-962-9577
서브안마시술소,"경기도 고양시 덕양구 화신로272번길 34 (화정동,미주프라자 4층)",031-938-1818
고흥안마시술소,경기도 고양시 덕양구 마상로114번길 53 (주교동),031-968-4372
원당여우안마시술소,"경기도 고양시 덕양구 호국로777번길 35 (주교동,2층)",031-965-6336
이안마시술소,"경기도 고양시 일산동구 중앙로1275번길 60-31, 404~406호 (장항동, 에메랄드빌딩)",031-906-7798
우진안마시술소,"경기도 고양시 일산동구 무궁화로 31-2 (장항동,풍성프라자601~606호)",
서원안마시술소,경기도 고양시 일산동구 정발산로 38 (장항동),031-908-2861
정안마시술소,"경기도 고양시 일산동구 무궁화로 31-13, 5층 (장항동, 로데오휠)",031-913-1160
리노안마시술소,"경기도 고양시 일산동구 정발산로 39 (장항동,대양빌딩 501,502호, 505～510호)",031-906-8807
뉴필안마시술소,"경기도 고양시 일산동구 무궁화로 34 (장항동,남정씨티프라자Ⅱ505,509,510호)",031-901-7237
푸른지압안마원,"경기도 고양시 일산서구 중앙로 1371 (주엽동, 뉴서울프라자 3층)",031-908-0789
약손지압안마원,"경기도 고양시 일산서구 일산로 562, 비101호 (일산동, 신일산연합상가)",031-915-1375
