"구분","세대수","남자","여자","전월말인구"
"주교동","7433","8310","7823","16213"
"원신동","9473","11728","12561","24299"
"흥도동","16901","20807","21689","42450"
"성사1동","9938","11289","11490","22811"
"성사2동","4831","5835","6142","11998"
"효자동","1328","1343","1228","2583"
"삼송동","8886","9835","10364","20210"
"창릉동","6936","8382","8197","16211"
"고양동","12865","15903","15769","31754"
"관산동","16015","18606","17993","36626"
"능곡동","6996","8347","8006","16416"
"화정1동","16132","19203","20288","39483"
"화정2동","12788","16616","17616","34195"
"행주동","10422","10657","9943","20704"
"행신1동","8905","11271","11917","23216"
"행신2동","13336","16622","17069","33701"
"행신3동","19230","23336","24673","48089"
"화전동","3786","4195","3737","7434"
"대덕동","1355","1365","1047","2421"
"식사동","11746","16658","17462","34132"
"중산동","18794","23347","24751","48104"
"정발산동","10479","12152","12989","25180"
"풍산동","14674","19252","20589","39829"
"백석1동","13042","15284","16654","31990"
"백석2동","11168","10333","10999","21395"
"마두1동","9032","12255","13092","25374"
"마두2동","5921","7962","8907","16893"
"장항1동","1891","1991","1565","3598"
"장항2동","14247","12741","13542","26331"
"고봉동","10088","11596","10615","22164"
"일산1동","10579","13994","14720","28793"
"일산2동","8126","9688","9953","19688"
"일산3동","12229","17949","19003","37033"
"탄현동","19995","25968","27102","53154"
"주엽1동","10565","13543","15166","28779"
"주엽2동","11960","14164","16005","30293"
"대화동","14945","16681","17691","33733"
"송포동","6762","9310","9499","18157"
"송산동","18176","24791","25387","50099"
