업체명,업종,등록일,주소,전화번호
(주)문화환경건설연구소,분뇨수집 운반,1993-01-14,경기도 고양시 덕양구 원당로33번길 57(주교동),031-967-8800
신원환경,분뇨수집 운반,1998-11-04,경기도 고양시 덕양구 통일로1018번길 112-34(관산동),031-963-5313
(합)세원,분뇨수집 운반,1998-01-19,경기도 고양시 일산서구 구산로 71(구산동),031-965-0068
벽산개발,분뇨수집 운반,1998-11-04,경기도 고양시 일산동구 공릉천로257번길 14(사리현동),031-964-7400
(합)일산위생공사,분뇨수집 운반,1998-11-04,경기도 고양시 덕양구 토당로168번길 7-27(토당동),031-975-3030
광일환경,분뇨수집 운반,1998-12-15,"경기도 고양시 덕양구 고양대로1384번길 30, 903동 201호(성사동, 신원당9단지)",031-963-6006
(유)고양환경,분뇨수집 운반,1999-01-23,경기도 고양시 일산동구 사리현로 201(사리현동),031-962-4800
우주환경㈜,분뇨수집 운반,1999-02-22,경기도 고양시 덕양구 고양시청로 13-2(주교동),031-969-3322
경화환경㈜,분뇨수집 운반,1999-03-11,경기도 고양시 덕양구 대덕로 158-121(현천동),02-3158-2456
원당환경㈜,분뇨수집 운반,1999-03-20,"경기도 고양시 일산동구 위시티3로 53-10, 302호(식사동)",031-965-0015
늘푸른환경,분뇨수집 운반,2003-09-18,경기도 고양시 일산서구 이산포길 342-46(구산동),031-918-5390
보훈환경,분뇨수집 운반,2007-11-30,"경기도 고양시 덕양구 행당로11번길 11, 203호(토당동, 삼윤상가))",031-979-6644
㈜문화환경건설연구소,설계시공업,1997-09-09,경기도 고양시 덕양구 원당로33번길 57(주교동),031-967-8800
㈜동인엔지니어링,설계시공업,2002-04-10,"경기도 고양시 덕양구 충경로 52, 604호(행신동, 남정씨티프라자)",031-938-3131
우주환경㈜,설계시공업,2003-06-05,경기도 고양시 덕양구 고양시청로 13-2(주교동),031-969-3322
㈜새롬환경기술,설계시공업,2003-10-21,"경기도 고양시 일산동구 일산로 138, 부대동 507호(백석동, 일산테크노타운)",031-938-0641
하이테크환경㈜,설계시공업,2004-01-27,경기도 고양시 덕양구 서오릉로 532(용두동),02-359-6211
㈜태영건설,설계시공업,2004-06-02,"경기도 고양시 일산동구 정발산로 24, T4-502호(장항동, 웨스턴돔2)",02-2090-2270
㈜세화엔스텍,설계시공업,2004-06-14,"경기도 고양시 일산동구 호수로 606, A동 1106호(장항동, 코오롱레이크폴리스1차)",031-908-8795
㈜청우엔비텍,설계시공업,2007-09-21,경기도 고양시 덕양구 통일로 1206(내유동),031-979-1172
신우환경,설계시공업,2008-03-19,경기도 고양시 덕양구 고양대로2002번길 11(동산동),02-359-1995
강인건설환경㈜,설계시공업,2009-09-15,경기도 고양시 덕양구 고양시청로 26(주교동),031-922-0681
㈜신환이엔씨,설계시공업,2018-05-03,"경기도 고양시 일산동구 백마로 195, 9002호(장항동, 엠시티타워)",031-906-6461
㈜물사랑이엔지,설계시공업,2018-05-03,"경기도 고양시 일산동구 노첨길 112, 가동(장항동)",031-906-3742
㈜문화환경건설연구소,관리업,2001-04-07,경기도 고양시 덕양구 원당로33번길 57(주교동),031-967-8800
우주환경㈜,관리업,2002-12-18,경기도 고양시 덕양구 고양시청로 13-2(주교동),031-969-3322
㈜새롬환경기술,관리업,2003-10-21,"경기도 고양시 일산동구 일산로 138, 부대동 507호(백석동, 일산테크노타운)",031-938-0641
하이테크환경㈜,관리업,2004-01-27,경기도 고양시 덕양구 서오릉로 532(용두동),02-359-6211
신우환경,관리업,2008-09-18,경기도 고양시 덕양구 고양대로2002번길 11(동산동),02-359-1995
강인건설환경㈜,관리업,2009-09-22,경기도 고양시 덕양구 고양시청로 26(주교동),031-922-0681
우리종합환경(협),관리업,2016-09-29,"경기도 고양시 일산동구 장항로 203-187, 가동(장항동)",031-979-5336
㈜뉴엔텍,관리업,2017-07-06,"경기도 고양시 덕양구 마상로 169, 304호(성사동, 풍산빌딩)",031-969-9527
㈜물사랑이엔지,관리업,2018-02-08,"경기도 고양시 일산동구 노첨길 112, 가동(장항동)",031-906-3742
